steps,random_win_rate,random_total_reward,call_win_rate,call_total_reward
2048,0.07593123209169055,-1184,0.00801068090787717,-1474
4096,0.07593123209169055,-1184,0.0,-1506
6144,0.49306135064132284,-449,0.22623723487824038,-5576
8192,0.5078720566867698,791,0.4016995592264623,-9902
10240,0.5148098175276279,922,0.04632916121800859,-4857
12288,0.49156351021051803,-428,0.0,-4045
14336,0.5106713673755638,1126,0.0,-28618
16384,0.5174704629091613,1804,0.10577777777777778,-10644
18432,0.4935275518201227,-479,0.10238907849829351,-4660
20480,0.4817525276841598,-1516,0.027192386131883073,-6955
22528,0.4918839050131926,-769,0.11461424332344214,-8312
24576,0.4868981813578632,-1242,0.14647791811477495,-8341
26624,0.48556221948603884,-1454,0.2655038759689923,-7744
28672,0.4896585905183095,-1085,0.37119341563786007,-5008
30720,0.4866431308878778,-1415,0.3666940114848236,-5200
32768,0.4864943205492853,-1491,0.4876441515650741,-720
