steps,random_win_rate,random_total_reward,call_win_rate,call_total_reward
2048,0.5036586285800498,291,0.368720870015536,-507
4096,0.4966292134831461,-102,0.002631578947368421,-1512
6144,0.5033428612954799,276,0.3764458464773922,-705
8192,0.39867549668874175,-918,0.0,-1502
10240,0.4942830858194244,-174,0.22288261515601784,-1492
12288,0.07593123209169055,-1184,0.0,-1502
14336,0.5002025111381126,6,0.11764705882352941,-1300
16384,0.49400639318060735,-180,0.17436791630340018,-1494
18432,0.07593123209169055,-1184,0.0,-1502
20480,0.07730851825340014,-1181,0.06246096189881324,-1401
22528,0.07730851825340014,-1181,0.06246096189881324,-1401
24576,0.07593123209169055,-1184,0.0,-1502
26624,0.07593123209169055,-1184,0.0,-1502
28672,0.08005718370264475,-1175,0.16675931072818231,-1199
30720,0.07730851825340014,-1181,0.06246096189881324,-1401
32768,0.14152202937249667,-1074,0.1053740779768177,-1498
