steps,random_win_rate,random_total_reward,call_win_rate,call_total_reward
2048,0.48338226658837347,-1132,0.47161728410849246,-4439
4096,0.46693077690749085,-2187,0.46977604273679885,-4413
6144,0.4603369340794159,-2651,0.4623361882158704,-5840
8192,0.48179099471757175,-1303,0.47521054139215124,-4327
10240,0.48234402079722705,-1304,0.476859521914065,-4302
12288,0.5047166087780234,478,0.46477153568812213,-4905
14336,0.5152218482843991,1574,0.46109759394430927,-5756
16384,0.5028716802220252,298,0.46883716212789694,-4916
18432,0.5103752675022929,1086,0.4745665403605466,-3544
20480,0.506490807052021,687,0.4723644933228594,-3518
22528,0.5039508669437891,422,0.46581015719467955,-4524
24576,0.5106519847126045,1126,0.453282968559049,-5046
26624,0.5123370224378411,1302,0.44131639823665486,-5378
28672,0.5113918339724791,1212,0.4552210121716848,-4194
30720,0.5113200709530985,1187,0.4425999688466588,-5159
32768,0.5077601073002491,810,0.45963317134347076,-4120
