steps,random_win_rate,random_total_reward,call_win_rate,call_total_reward
2048,0.07593123209169055,-1184,0.0,-1502
4096,0.5325477299716818,3563,0.4674657534246575,-152
6144,0.5247781355532868,2524,0.4816753926701571,-70
8192,0.5011037527593819,111,0.371543489190548,-1022
10240,0.48083484461930964,-1247,0.21885245901639344,-1372
12288,0.47891234871902344,-1610,0.4259094942324756,-5678
14336,0.49949137501893814,-47,0.4631235951666189,-4889
16384,0.488053889064309,-908,0.4301626641597584,-4903
18432,0.4952672423215652,-433,0.42756817829371496,-6539
20480,0.46627815610267154,-2060,0.37488284910965325,-4539
22528,0.48605405405405405,-1161,0.43782470253058486,-5936
24576,0.483331933831556,-794,0.36640916355887054,-4012
26624,0.4712826797385621,-1406,0.09121313469139557,-2689
28672,0.49761417859577367,-77,0.11107024641412284,-2115
30720,0.49359361779282,-212,0.0,-1671
32768,0.4982249088466705,-74,0.0,-1883
